tier,epsilon,threshold,f1_score,recall,precision,accuracy,fp,fn
tier_s,0.001,-52.1144,0.8475,75.76,96.15,88.31,1,8
tier_s,0.002,-40.3726,0.8824,90.91,85.71,89.61,5,3
tier_s,0.005,-11.163,0.918,84.85,100.0,93.51,0,5
tier_s,0.008,-7.2073,0.9206,87.88,96.67,93.51,1,4
tier_s,0.01,-5.8608,0.9206,87.88,96.67,93.51,1,4
tier_s,0.015,-4.187,0.9062,87.88,93.55,92.21,2,4
tier_s,0.02,-2.4497,0.8889,84.85,93.33,90.91,2,5
tier_s,0.03,-1.4926,0.8615,84.85,87.5,88.31,4,5
tier_s,0.05,-0.4298,0.806,81.82,79.41,83.12,7,6
tier_l,0.001,-2.4546,0.6667,100.0,50.0,57.14,33,0
tier_l,0.002,-4.929,0.7097,100.0,55.0,64.94,27,0
tier_l,0.005,-11.1523,0.6458,93.94,49.21,55.84,32,2
tier_l,0.008,-8.3597,0.8788,87.88,87.88,89.61,4,4
tier_l,0.01,-6.1978,0.8615,84.85,87.5,88.31,4,5
tier_l,0.015,-5.1055,0.8657,87.88,85.29,88.31,5,4
tier_l,0.02,-2.7028,0.8529,87.88,82.86,87.01,6,4
tier_l,0.03,-1.8883,0.8235,84.85,80.0,84.42,7,5
tier_l,0.05,-2.5943,0.8,90.91,71.43,80.52,12,3
