type,w_stgcn,w_ctrgcn,w_pc3d,tau_server,recall,precision,accuracy,f1,fp,fn,p_low,p_high,edge_discard_ratio,edge_alert_ratio,escalation_ratio
server_ensemble_weight_sweep,0.5,0.35,0.15,0.35,100.0,73.33,84.42,0.8462,12,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.355,100.0,82.5,90.91,0.9041,7,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.36,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.365,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.37,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.375,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.38,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.385,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.39,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.395,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.4,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.405,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.41,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.415,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.42,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.425,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.43,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.435,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.44,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.445,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.45,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.455,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.46,100.0,84.62,92.21,0.9167,6,0,,,,,
server_ensemble_weight_sweep,0.5,0.35,0.15,0.465,100.0,84.62,92.21,0.9167,6,0,,,,,
