edge_screener,server_committee,p_low,p_high,pct_esc,f1_score,recall,precision,accuracy,fp,fn,eff_tot_gpu_ms,eff_fps_gpu,eff_tot_cpu_ms,eff_fps_cpu
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.5,19.48,0.9167,100.0,84.62,92.21,6,0,31.87,31.4,183.01,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.6,19.48,0.9167,100.0,84.62,92.21,6,0,31.87,31.4,183.01,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.7,22.08,0.9167,100.0,84.62,92.21,6,0,32.42,30.8,185.61,5.4
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.8,24.68,0.9296,100.0,86.84,93.51,5,0,32.97,30.3,188.22,5.3
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.85,25.97,0.9296,100.0,86.84,93.51,5,0,33.25,30.1,189.52,5.3
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.9,28.57,0.9296,100.0,86.84,93.51,5,0,33.8,29.6,192.13,5.2
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.95,29.87,0.9296,100.0,86.84,93.51,5,0,34.07,29.4,193.43,5.2
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.98,37.66,0.9429,100.0,89.19,94.81,4,0,35.72,28.0,201.25,5.0
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.99,42.86,0.9429,100.0,89.19,94.81,4,0,36.82,27.2,206.46,4.8
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.001,0.999,58.44,1.0,100.0,100.0,100.0,0,0,40.11,24.9,222.1,4.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.5,16.88,0.9167,100.0,84.62,92.21,6,0,31.32,31.9,180.4,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.6,16.88,0.9167,100.0,84.62,92.21,6,0,31.32,31.9,180.4,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.7,19.48,0.9167,100.0,84.62,92.21,6,0,31.87,31.4,183.01,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.8,22.08,0.9296,100.0,86.84,93.51,5,0,32.42,30.8,185.61,5.4
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.85,23.38,0.9296,100.0,86.84,93.51,5,0,32.7,30.6,186.92,5.3
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.9,25.97,0.9296,100.0,86.84,93.51,5,0,33.25,30.1,189.52,5.3
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.95,27.27,0.9296,100.0,86.84,93.51,5,0,33.52,29.8,190.83,5.2
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.98,35.06,0.9429,100.0,89.19,94.81,4,0,35.17,28.4,198.64,5.0
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.99,40.26,0.9429,100.0,89.19,94.81,4,0,36.27,27.6,203.85,4.9
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.005,0.999,55.84,1.0,100.0,100.0,100.0,0,0,39.56,25.3,219.49,4.6
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.5,14.29,0.9167,100.0,84.62,92.21,6,0,30.78,32.5,177.8,5.6
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.6,14.29,0.9167,100.0,84.62,92.21,6,0,30.78,32.5,177.8,5.6
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.7,16.88,0.9167,100.0,84.62,92.21,6,0,31.32,31.9,180.4,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.8,19.48,0.9296,100.0,86.84,93.51,5,0,31.87,31.4,183.01,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.85,20.78,0.9296,100.0,86.84,93.51,5,0,32.15,31.1,184.31,5.4
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.9,23.38,0.9296,100.0,86.84,93.51,5,0,32.7,30.6,186.92,5.3
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.95,24.68,0.9296,100.0,86.84,93.51,5,0,32.97,30.3,188.22,5.3
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.98,32.47,0.9429,100.0,89.19,94.81,4,0,34.62,28.9,196.04,5.1
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.99,37.66,0.9429,100.0,89.19,94.81,4,0,35.72,28.0,201.25,5.0
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.01,0.999,53.25,1.0,100.0,100.0,100.0,0,0,39.01,25.6,216.88,4.6
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.5,10.39,0.9167,100.0,84.62,92.21,6,0,29.95,33.4,173.89,5.8
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.6,10.39,0.9167,100.0,84.62,92.21,6,0,29.95,33.4,173.89,5.8
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.7,12.99,0.9167,100.0,84.62,92.21,6,0,30.5,32.8,176.49,5.7
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.8,15.58,0.9296,100.0,86.84,93.51,5,0,31.05,32.2,179.1,5.6
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.85,16.88,0.9296,100.0,86.84,93.51,5,0,31.32,31.9,180.4,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.9,19.48,0.9296,100.0,86.84,93.51,5,0,31.87,31.4,183.01,5.5
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.95,20.78,0.9296,100.0,86.84,93.51,5,0,32.15,31.1,184.31,5.4
ST-GCN Baseline,Champion m=3 (ST+CTR+T3),0.02,0.98,28.57,0.9429,100.0,89.19,94.81,4,0,33.8,29.6,192.13,5.2
