sequence,tier1,tier2,tier3,mode,pl1,ph1,pl2,ph2,tau3,pct_esc1,pct_esc2,f1,recall,precision,accuracy,fp,fn,eff_gpu_ms,eff_gpu_fps,eff_cpu_ms,eff_cpu_fps
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.75,0.55,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.75,0.6,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.75,0.65,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.85,0.55,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.85,0.6,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.85,0.65,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.95,0.55,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.95,0.6,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.01,0.95,0.65,42.86,32.47,0.9688,93.94,100.0,97.4,0,2,32.37,30.9,217.15,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.05,0.75,0.55,42.86,31.17,0.9688,93.94,100.0,97.4,0,2,32.21,31.0,216.87,4.6
pc3d_tier5->stgcn->ctrgcn_tier_s,pc3d_tier5,stgcn,ctrgcn_tier_s,cumulative_vote,0.001,0.5,0.05,0.75,0.6,42.86,31.17,0.9688,93.94,100.0,97.4,0,2,32.21,31.0,216.87,4.6
