ensemble_type,w_tier5,w_tier3,threshold,f1_score,recall,precision,accuracy,fp,fn
Tier5_plus_Tier3,0.1,0.9,0.3,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.31,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.32,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.33,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.34,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.35,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.36,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.37,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.38,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.39,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.1,0.9,0.4,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.1,0.9,0.41,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.1,0.9,0.42,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.1,0.9,0.43,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.1,0.9,0.44,0.8611,93.94,79.49,87.01,8,2
Tier5_plus_Tier3,0.1,0.9,0.45,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.1,0.9,0.46,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.1,0.9,0.47,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.1,0.9,0.48,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.49,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.5,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.51,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.52,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.53,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.54,0.8857,93.94,83.78,89.61,6,2
Tier5_plus_Tier3,0.1,0.9,0.55,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.1,0.9,0.56,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.1,0.9,0.57,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.1,0.9,0.58,0.8529,87.88,82.86,87.01,6,4
Tier5_plus_Tier3,0.1,0.9,0.59,0.8358,84.85,82.35,85.71,6,5
Tier5_plus_Tier3,0.1,0.9,0.6,0.8358,84.85,82.35,85.71,6,5
Tier5_plus_Tier3,0.1,0.9,0.61,0.8358,84.85,82.35,85.71,6,5
Tier5_plus_Tier3,0.1,0.9,0.62,0.8358,84.85,82.35,85.71,6,5
Tier5_plus_Tier3,0.1,0.9,0.63,0.8358,84.85,82.35,85.71,6,5
Tier5_plus_Tier3,0.1,0.9,0.64,0.8182,81.82,81.82,84.42,6,6
Tier5_plus_Tier3,0.1,0.9,0.65,0.8182,81.82,81.82,84.42,6,6
Tier5_plus_Tier3,0.1,0.9,0.66,0.8182,81.82,81.82,84.42,6,6
Tier5_plus_Tier3,0.1,0.9,0.67,0.8182,81.82,81.82,84.42,6,6
Tier5_plus_Tier3,0.1,0.9,0.68,0.8,78.79,81.25,83.12,6,7
Tier5_plus_Tier3,0.1,0.9,0.69,0.7812,75.76,80.65,81.82,6,8
Tier5_plus_Tier3,0.1,0.9,0.7,0.7812,75.76,80.65,81.82,6,8
Tier5_plus_Tier3,0.15,0.85,0.3,0.8378,93.94,75.61,84.42,10,2
Tier5_plus_Tier3,0.15,0.85,0.31,0.8378,93.94,75.61,84.42,10,2
