threshold,f1_score,precision,recall,accuracy,tp,tn,fp,fn
-59.1752,0.6055,43.42,100.0,44.16,33,1,43,0
-58.2718,0.6055,43.42,100.0,44.16,33,1,43,0
-57.3683,0.6111,44.0,100.0,45.45,33,2,42,0
-56.4648,0.6111,44.0,100.0,45.45,33,2,42,0
-55.5614,0.6226,45.21,100.0,48.05,33,4,40,0
-54.6579,0.6226,45.21,100.0,48.05,33,4,40,0
-53.7544,0.6226,45.21,100.0,48.05,33,4,40,0
-52.851,0.6226,45.21,100.0,48.05,33,4,40,0
-51.9475,0.6286,45.83,100.0,49.35,33,5,39,0
-51.044,0.6286,45.83,100.0,49.35,33,5,39,0
-50.1405,0.6286,45.83,100.0,49.35,33,5,39,0
-49.2371,0.6286,45.83,100.0,49.35,33,5,39,0
-48.3336,0.6286,45.83,100.0,49.35,33,5,39,0
-47.4301,0.6408,47.14,100.0,51.95,33,7,37,0
-46.5267,0.6408,47.14,100.0,51.95,33,7,37,0
-45.6232,0.6408,47.14,100.0,51.95,33,7,37,0
-44.7197,0.6408,47.14,100.0,51.95,33,7,37,0
-43.8163,0.6408,47.14,100.0,51.95,33,7,37,0
-42.9128,0.6408,47.14,100.0,51.95,33,7,37,0
-42.0093,0.6471,47.83,100.0,53.25,33,8,36,0
-41.1058,0.6471,47.83,100.0,53.25,33,8,36,0
-40.2024,0.6471,47.83,100.0,53.25,33,8,36,0
-39.2989,0.6471,47.83,100.0,53.25,33,8,36,0
-38.3954,0.6471,47.83,100.0,53.25,33,8,36,0
-37.492,0.6471,47.83,100.0,53.25,33,8,36,0
-36.5885,0.6471,47.83,100.0,53.25,33,8,36,0
-35.685,0.66,49.25,100.0,55.84,33,10,34,0
-34.7816,0.66,49.25,100.0,55.84,33,10,34,0
-33.8781,0.66,49.25,100.0,55.84,33,10,34,0
-32.9746,0.66,49.25,100.0,55.84,33,10,34,0
-32.0711,0.66,49.25,100.0,55.84,33,10,34,0
-31.1677,0.66,49.25,100.0,55.84,33,10,34,0
-30.2642,0.66,49.25,100.0,55.84,33,10,34,0
-29.3607,0.66,49.25,100.0,55.84,33,10,34,0
-28.4573,0.66,49.25,100.0,55.84,33,10,34,0
-27.5538,0.66,49.25,100.0,55.84,33,10,34,0
-26.6503,0.6667,50.0,100.0,57.14,33,11,33,0
-25.7469,0.6667,50.0,100.0,57.14,33,11,33,0
-24.8434,0.6804,51.56,100.0,59.74,33,13,31,0
-23.9399,0.6947,53.23,100.0,62.34,33,15,29,0
-23.0364,0.6947,53.23,100.0,62.34,33,15,29,0
-22.133,0.6947,53.23,100.0,62.34,33,15,29,0
-21.2295,0.6947,53.23,100.0,62.34,33,15,29,0
-20.326,0.7097,55.0,100.0,64.94,33,17,27,0
-19.4226,0.7033,55.17,96.97,64.94,32,18,26,1
-18.5191,0.7033,55.17,96.97,64.94,32,18,26,1
-17.6156,0.6742,53.57,90.91,62.34,30,18,26,3
-16.7122,0.6977,56.6,90.91,66.23,30,21,23,3
-15.8087,0.7143,58.82,90.91,68.83,30,23,21,3
-14.9052,0.7143,58.82,90.91,68.83,30,23,21,3
-14.0017,0.7143,58.82,90.91,68.83,30,23,21,3
-13.0983,0.7143,58.82,90.91,68.83,30,23,21,3
-12.1948,0.7143,58.82,90.91,68.83,30,23,21,3
-11.2913,0.7229,60.0,90.91,70.13,30,24,20,3
-10.3879,0.725,61.7,87.88,71.43,29,26,18,4
-9.4844,0.7436,64.44,87.88,74.03,29,28,16,4
-8.5809,0.7632,67.44,87.88,76.62,29,30,14,4
-7.6775,0.7838,70.73,87.88,79.22,29,32,12,4
-6.774,0.7838,70.73,87.88,79.22,29,32,12,4
-5.8705,0.8169,76.32,87.88,83.12,29,35,9,4
-4.967,0.8286,78.38,87.88,84.42,29,36,8,4
-4.0636,0.8406,80.56,87.88,85.71,29,37,7,4
-3.1601,0.8235,80.0,84.85,84.42,28,37,7,5
-2.2566,0.8235,80.0,84.85,84.42,28,37,7,5
-1.3532,0.7879,78.79,78.79,81.82,26,37,7,7
-0.4497,0.7937,83.33,75.76,83.12,25,39,5,8
0.4538,0.6897,80.0,60.61,76.62,20,39,5,13
1.3573,0.6429,78.26,54.55,74.03,18,39,5,15
2.2607,0.5926,76.19,48.48,71.43,16,39,5,17
3.1642,0.566,75.0,45.45,70.13,15,39,5,18
4.0677,0.48,70.59,36.36,66.23,12,39,5,21
4.9711,0.4167,66.67,30.3,63.64,10,39,5,23
5.8746,0.4167,66.67,30.3,63.64,10,39,5,23
6.7781,0.4255,71.43,30.3,64.94,10,40,4,23
7.6815,0.3913,69.23,27.27,63.64,9,40,4,24
8.585,0.2857,66.67,18.18,61.04,6,41,3,27
9.4885,0.2857,66.67,18.18,61.04,6,41,3,27
10.392,0.2857,66.67,18.18,61.04,6,41,3,27
11.2954,0.2439,62.5,15.15,59.74,5,41,3,28
12.1989,0.2051,66.67,12.12,59.74,4,42,2,29
13.1024,0.2051,66.67,12.12,59.74,4,42,2,29
14.0058,0.1579,60.0,9.09,58.44,3,42,2,30
14.9093,0.0571,50.0,3.03,57.14,1,43,1,32
15.8128,0.0,0.0,0.0,55.84,0,43,1,33
16.7162,0.0,0.0,0.0,55.84,0,43,1,33
17.6197,0.0,0.0,0.0,55.84,0,43,1,33
18.5232,0.0,0.0,0.0,55.84,0,43,1,33
19.4267,0.0,0.0,0.0,55.84,0,43,1,33
20.3301,0.0,0.0,0.0,55.84,0,43,1,33
21.2336,0.0,0.0,0.0,55.84,0,43,1,33
22.1371,0.0,0.0,0.0,55.84,0,43,1,33
23.0405,0.0,0.0,0.0,55.84,0,43,1,33
23.944,0.0,0.0,0.0,55.84,0,43,1,33
24.8475,0.0,0.0,0.0,55.84,0,43,1,33
25.7509,0.0,0.0,0.0,55.84,0,43,1,33
26.6544,0.0,0.0,0.0,55.84,0,43,1,33
27.5579,0.0,0.0,0.0,55.84,0,43,1,33
28.4614,0.0,0.0,0.0,55.84,0,43,1,33
29.3648,0.0,0.0,0.0,55.84,0,43,1,33
30.2683,0.0,0.0,0.0,55.84,0,43,1,33
