threshold,f1_score,precision,recall,accuracy,tp,tn,fp,fn,operational_profile
-23.4694,0.8387,89.66,78.79,87.01,26,41,3,7,Conservative
-22.9694,0.8387,89.66,78.79,87.01,26,41,3,7,Conservative
-22.4694,0.8387,89.66,78.79,87.01,26,41,3,7,Conservative
-21.9694,0.8525,92.86,78.79,88.31,26,42,2,7,Conservative
-21.6694,0.8667,96.3,78.79,89.61,26,43,1,7,Conservative
-21.4694,0.8667,96.3,78.79,89.61,26,43,1,7,Balanced Best (Optimal F1)
-21.2694,0.8667,96.3,78.79,89.61,26,43,1,7,Conservative
-20.9694,0.8667,96.3,78.79,89.61,26,43,1,7,Conservative
-20.4694,0.8667,96.3,78.79,89.61,26,43,1,7,Conservative
-19.9694,0.8667,96.3,78.79,89.61,26,43,1,7,Conservative
-19.4694,0.8475,96.15,75.76,88.31,25,43,1,8,Conservative
