epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.0546,2.8866,19.3324,0.00751,0,0,0,0,3.00079,14.1976,0.00976,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046
2,33.112,2.81289,18.1324,0.00725,0,0,0,0,2.99448,14.2097,0.00974,0.00280604,0.000935347,0.00280604,0.000935347,0.00280604,0.000935347,0.00280604,0.000935347
3,46.3731,2.71702,15.722,0.00683,0,0,0,0,2.9489,14.1344,0.00957,0.00421783,0.00140594,0.00421783,0.00140594,0.00421783,0.00140594,0.00421783,0.00140594
4,59.1941,2.61638,14.2304,0.00657,0,0,0,0,2.71995,12.2297,0.00862,0.00561535,0.00187178,0.00561535,0.00187178,0.00561535,0.00187178,0.00561535,0.00187178
5,72.2023,2.48811,10.9233,0.00598,0.00102,0.48739,0.00327,0.00096,2.42936,10.3676,0.00747,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,85.2287,2.37425,8.67139,0.00552,0.21959,0.18487,0.12327,0.02768,2.24162,4.648,0.00676,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,98.2302,2.23628,7.52036,0.00524,0.26493,0.20168,0.20362,0.06015,2.07182,3.74732,0.00598,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,110.912,2.08193,6.39115,0.00494,0.26146,0.30048,0.23257,0.0747,2.14345,3.45108,0.00622,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,123.932,2.01901,5.48895,0.00461,0.35796,0.41699,0.33945,0.0988,2.12398,3.15762,0.00631,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,136.767,1.9689,4.98854,0.00434,0.40351,0.45378,0.37628,0.12758,2.06654,2.84373,0.00602,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
11,149.719,1.98248,4.38347,0.00439,0.41152,0.55462,0.43663,0.14906,2.13041,2.47483,0.00643,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
12,162.677,1.9516,4.10952,0.00453,0.44498,0.47163,0.43457,0.15086,1.95552,2.22621,0.00552,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911
13,175.725,1.90853,3.79243,0.00433,0.5168,0.47636,0.48453,0.16682,2.07118,2.03784,0.00599,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
14,188.794,1.85879,3.37326,0.00413,0.54064,0.4958,0.48419,0.18153,2.0479,1.94626,0.00591,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713
15,201.675,1.7703,3.22108,0.00392,0.52431,0.54622,0.5117,0.20825,2.01413,1.71302,0.0059,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
16,214.396,1.84354,3.09108,0.00429,0.57801,0.61345,0.59394,0.22976,2.01439,1.52837,0.00587,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
17,227.469,1.84067,2.8033,0.00405,0.58071,0.64706,0.59092,0.22157,2.12766,1.52475,0.00614,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
