epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.2008,0.99897,0.50608,0.0023,0.88307,0.78151,0.87161,0.37153,2.05224,0.96248,0.00586,0.00195745,0.000652482,0.00195745,0.000652482,0.00195745,0.000652482,0.00195745,0.000652482
2,18.8904,1.01119,0.50052,0.00229,0.80865,0.85714,0.87779,0.35824,2.05294,0.97788,0.00588,0.00387909,0.00129303,0.00387909,0.00129303,0.00387909,0.00129303,0.00387909,0.00129303
3,27.1793,1.02203,0.50126,0.00233,0.81023,0.86107,0.8836,0.35989,2.05975,0.95027,0.00588,0.00572153,0.00190718,0.00572153,0.00190718,0.00572153,0.00190718,0.00572153,0.00190718
4,35.387,0.99452,0.51267,0.00226,0.78837,0.84034,0.86129,0.35046,2.07477,0.97536,0.00592,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,43.5499,1.00812,0.51177,0.00229,0.87061,0.79832,0.87136,0.34892,2.06519,0.93993,0.0059,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,51.6641,1.04089,0.51225,0.00237,0.87697,0.80672,0.88821,0.36678,2.05547,0.94788,0.00588,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,59.7095,1.02197,0.50517,0.00235,0.85629,0.78992,0.87708,0.34905,2.07217,0.95632,0.00593,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,67.8159,1.00897,0.5171,0.00235,0.88151,0.81513,0.89539,0.35653,2.05988,0.9745,0.00587,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,76.261,0.97626,0.50674,0.0022,0.87432,0.81842,0.89043,0.36394,2.04705,0.9689,0.00585,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,84.5117,1.02635,0.51597,0.00232,0.87016,0.79832,0.86742,0.33902,2.08677,0.975,0.00599,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,92.6245,1.01099,0.50514,0.00225,0.82784,0.86555,0.90061,0.36197,2.04593,0.95111,0.00589,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,100.76,1.01475,0.51626,0.00229,0.8223,0.85551,0.88244,0.35571,2.05628,0.96858,0.0059,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,109.132,1.01527,0.51859,0.00233,0.86369,0.79832,0.87384,0.34707,2.04689,0.99639,0.0058,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,117.397,1.00231,0.5053,0.00228,0.88066,0.80617,0.88541,0.35408,2.05815,0.94639,0.00588,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,125.512,1.00755,0.51424,0.00224,0.87808,0.80672,0.86096,0.34819,2.06329,0.96225,0.0059,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,133.657,1.02718,0.51711,0.00231,0.82986,0.86555,0.88643,0.35299,2.05027,0.96055,0.00588,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
