epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.2576,3.17352,11.6692,0.00814,0.00053,0.0084,0.00581,0.00127,2.6172,5.17759,0.0079,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046
2,22.4808,2.51848,4.09644,0.00601,0.41782,0.29412,0.28366,0.10705,2.26167,2.24332,0.00647,0.00280883,0.000936278,0.00280883,0.000936278,0.00280883,0.000936278,0.00280883,0.000936278
3,31.6738,2.32117,2.41593,0.00529,0.60609,0.47059,0.48558,0.19825,2.20957,1.76784,0.00638,0.00422626,0.00140875,0.00422626,0.00140875,0.00422626,0.00140875,0.00422626,0.00140875
4,40.8662,2.29524,1.91377,0.00538,0.61465,0.55462,0.59792,0.2274,2.3407,1.48858,0.00688,0.00563228,0.00187743,0.00563228,0.00187743,0.00563228,0.00187743,0.00563228,0.00187743
5,49.7961,2.2141,1.63803,0.00496,0.61972,0.5042,0.52005,0.18815,2.5143,1.36194,0.00767,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832
6,58.7884,2.14505,1.55937,0.00475,0.67234,0.60504,0.65559,0.25235,2.32188,1.32047,0.00684,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
7,67.6407,2.0961,1.32832,0.00481,0.81434,0.68067,0.69994,0.26124,2.38032,1.1322,0.00705,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248
8,76.5973,2.04362,1.28724,0.00473,0.78414,0.76316,0.76724,0.29325,2.34616,1.01805,0.0069,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456
9,85.3973,2.02576,1.20196,0.00449,0.7776,0.70514,0.74442,0.27711,2.34176,0.90055,0.00695,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664
10,94.3277,2.03234,1.16596,0.00452,0.73143,0.69748,0.70536,0.27212,2.35986,1.08127,0.00681,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872
