epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.9302,2.88372,21.4497,0.00748,0,0,0,0,3.01461,14.4688,0.00982,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085,0.00196825,0.000656085
2,88.0696,2.66188,19.0055,0.00703,0,0,0,0,2.88596,14.1099,0.00914,0.00394861,0.0013162,0.00394861,0.0013162,0.00394861,0.0013162,0.00394861,0.0013162
3,127.608,2.51768,15.8744,0.00628,0.00051,0.2437,0.00036,9e-05,2.40191,11.9685,0.00723,0.00590917,0.00196972,0.00590917,0.00196972,0.00590917,0.00196972,0.00590917,0.00196972
4,167.453,2.41513,13.1592,0.00572,0.32181,0.30252,0.20209,0.05005,2.21192,7.73956,0.00632,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
5,206.488,2.27177,9.86629,0.00529,0.39512,0.33613,0.26489,0.08869,2.02134,4.62995,0.00564,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,245.78,2.02688,7.56528,0.00457,0.37567,0.36975,0.29921,0.09026,2.20135,3.83204,0.00643,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,284.915,1.97781,6.51665,0.00453,0.42119,0.39496,0.42735,0.15927,1.89864,3.13998,0.00535,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,324.288,1.88036,5.32683,0.00425,0.38558,0.39496,0.38229,0.14078,1.92761,2.77603,0.00545,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,363.399,1.81772,4.52612,0.00414,0.41857,0.52027,0.48506,0.18576,1.80365,2.30936,0.00513,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,402.281,1.81056,3.7797,0.00386,0.45357,0.62185,0.51649,0.20331,1.87406,1.98501,0.00527,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
11,441.687,1.7814,3.40543,0.00387,0.57274,0.56303,0.56299,0.2055,1.96101,1.718,0.00557,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
12,480.458,1.76947,3.06301,0.00383,0.48778,0.56303,0.50858,0.19958,1.99761,1.67206,0.00554,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911
13,518.965,1.75098,2.67746,0.00398,0.55895,0.57143,0.55928,0.23981,1.95061,1.5285,0.00557,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
